case_id,attack,decimals,coordinate_step_angstrom,rounded_pdb,ca_count,selected_ca_count,decoded_bits,decoded_message,bitacc_percent,ber_percent,exact_recovery,clean_to_rounded_ca_rmsd_angstrom,original_to_rounded_ca_rmsd_angstrom,max_ca_rounding_displacement_angstrom
6MRR,coordinate_decimal_rounding,3,0.001,G:\Watermarker\Attack\3cases\Coordinate_decimal_rounding\rounded_pdb\6MRR\6MRR_watermarked_round_3dec.pdb,68,48,01101110011100000110101000100000010100110100001000000000,npj SB,100.0,0.0,True,0.0,0.003735757266330443,0.0
6MRR,coordinate_decimal_rounding,2,0.01,G:\Watermarker\Attack\3cases\Coordinate_decimal_rounding\rounded_pdb\6MRR\6MRR_watermarked_round_2dec.pdb,68,48,01101110000100000110100000100000000010110101001000000000,nh R,87.5,12.5,False,0.005027863538791131,0.006298926145640569,0.007141428428542747
6MRR,coordinate_decimal_rounding,1,0.1,G:\Watermarker\Attack\3cases\Coordinate_decimal_rounding\rounded_pdb\6MRR\6MRR_watermarked_round_1dec.pdb,68,48,10011011100100000010110000111010110100100010110111111010,"��,:�-�",48.214285714285715,51.785714285714285,False,0.04916942498078641,0.04901050307602143,0.0820000000000007
6MRR,coordinate_decimal_rounding,0,1.0,G:\Watermarker\Attack\3cases\Coordinate_decimal_rounding\rounded_pdb\6MRR\6MRR_watermarked_round_0dec.pdb,68,48,01110010011001101101111111110010010010010000100111100011,rf��I	�,51.78571428571429,48.21428571428571,False,0.5174911053512389,0.5177118492207121,0.8138617818769965
8HFE,coordinate_decimal_rounding,3,0.001,G:\Watermarker\Attack\3cases\Coordinate_decimal_rounding\rounded_pdb\8HFE\8HFE_watermarked_round_3dec.pdb,548,48,01101110011100000110101000100000010100110100001000000000,npj SB,100.0,0.0,True,0.0,0.001330440901618805,0.0
8HFE,coordinate_decimal_rounding,2,0.01,G:\Watermarker\Attack\3cases\Coordinate_decimal_rounding\rounded_pdb\8HFE\8HFE_watermarked_round_2dec.pdb,548,48,11101110011100000110101010000000010100110100000000000000,�pj�S@,92.85714285714286,7.142857142857139,False,0.005003830649400554,0.0052033467612917095,0.008124038404650261
8HFE,coordinate_decimal_rounding,1,0.1,G:\Watermarker\Attack\3cases\Coordinate_decimal_rounding\rounded_pdb\8HFE\8HFE_watermarked_round_1dec.pdb,548,48,10010100000010100110101011111011110011010100111001101110,"�
j��Nn",48.214285714285715,51.785714285714285,False,0.05051922016262151,0.05047144527672234,0.08163945124754633
8HFE,coordinate_decimal_rounding,0,1.0,G:\Watermarker\Attack\3cases\Coordinate_decimal_rounding\rounded_pdb\8HFE\8HFE_watermarked_round_0dec.pdb,548,48,01010001001001100101001010110000001101101100000001111100,Q&R�6�|,53.57142857142857,46.42857142857143,False,0.494486390253549,0.49452431800154206,0.7843640736290768
8VC8,coordinate_decimal_rounding,3,0.001,G:\Watermarker\Attack\3cases\Coordinate_decimal_rounding\rounded_pdb\8VC8\8VC8_watermarked_round_3dec.pdb,197,48,01101110011100000110101000100000010100110100001000000000,npj SB,100.0,0.0,True,0.0,0.0021867157767585035,0.0
8VC8,coordinate_decimal_rounding,2,0.01,G:\Watermarker\Attack\3cases\Coordinate_decimal_rounding\rounded_pdb\8VC8\8VC8_watermarked_round_2dec.pdb,197,48,11101110011000000110101000100000010100110100001000000100,�`j SB,94.64285714285714,5.357142857142861,False,0.00506355546119811,0.005512790848940506,0.008124038404636925
8VC8,coordinate_decimal_rounding,1,0.1,G:\Watermarker\Attack\3cases\Coordinate_decimal_rounding\rounded_pdb\8VC8\8VC8_watermarked_round_1dec.pdb,197,48,00011101001111110111000110001001100011110100011110101001,?q��G�,48.214285714285715,51.785714285714285,False,0.04908870040665384,0.04899948202357533,0.07747257579298474
8VC8,coordinate_decimal_rounding,0,1.0,G:\Watermarker\Attack\3cases\Coordinate_decimal_rounding\rounded_pdb\8VC8\8VC8_watermarked_round_0dec.pdb,197,48,11000011100101011011101100010010001011111101111000100010,"Õ�/�""",50.0,50.0,False,0.5000137612319483,0.5000912962335258,0.7596775631805913
